name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,beds,price,review_scores_rating
Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,4995578,George,f,"Chicago, Illinois, United States",Lake View,1,$125.00,5.0
Rental unit in Chicago · ★4.84 · 3 bedrooms · 3 beds · 1.5 baths,1505878,Bob,f,"Chicago, Illinois, United States",Bridgeport,3,$130.00,4.84
Rental unit in Chicago · ★4.74 · 2 bedrooms · 3 beds · 1.5 baths,1505878,Bob,f,"Chicago, Illinois, United States",Bridgeport,3,$146.00,4.74
Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,8292749,Ilya,t,"Chicago, Illinois, United States",Irving Park,1,$37.00,5.0
Townhouse in Chicago · ★4.0 · 3 bedrooms · 3 beds · 3.5 baths,4010906,Bobbie,f,"Chicago, Illinois, United States",Grand Boulevard,3,$242.00,4.0
Loft in Chicago · ★4.90 · 2 bedrooms · 2 beds · 2 baths,845242,Mi Casa Su Casa Vacations,t,"Chicago, Illinois, United States",Lake View,2,$194.00,4.9
Home in Chicago · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,5166793,Carrie & Brad,f,"Chicago, Illinois, United States",Logan Square,1,$47.00,4.64
Home in Chicago · ★4.85 · 3 bedrooms · 5 beds · 3 baths,1876597,The Adventurers,t,"Chicago, Illinois, United States",West Town,5,$234.00,4.85
Condo in Chicago · ★4.79 · 3 bedrooms · 4 beds · 2 baths,1876597,The Adventurers,t,"Chicago, Illinois, United States",West Town,4,$224.00,4.79
Townhouse in Chicago · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,1838943,Sunnie/Randolph,t,"Chicago, Illinois, United States",Lake View,1,$75.00,4.82
Rental unit in Chicago · ★4.52 · 1 bedroom · 3 beds · 1 bath,10917550,Nicky,f,"Chicago, Illinois, United States",Humboldt Park,3,$68.00,4.52
Rental unit in Chicago · ★4.53 · 2 bedrooms · 3 beds · 1 bath,1844352,Christine,f,"Chicago, Illinois, United States",West Town,3,$96.00,4.53
Home in Chicago · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,1559157,Amanda,t,"Chicago, Illinois, United States",Lower West Side,1,$82.00,4.95
Rental unit in Chicago · ★4.81 · 1 bedroom · 2 beds · 1 bath,2308792,Jonathan,f,"Chicago, Illinois, United States",Logan Square,2,$61.00,4.81
Hostel in Chicago · ★4.47 · 1 bedroom · 4 beds · 11 shared baths,7391164,Wrigley Hostel,f,"Chicago, Illinois, United States",Lake View,4,$121.00,4.47
Guest suite in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 bath,2501182,Nate,t,"Chicago, Illinois, United States",Lincoln Square,1,$101.00,4.92
Hostel in Chicago · ★4.53 · 1 bedroom · 10 beds · 11 shared baths,7391164,Wrigley Hostel,f,"Chicago, Illinois, United States",Lake View,10,$30.00,4.53
Rental unit in Chicago · ★4.58 · 1 bedroom · 1 bed · 1 bath,11848299,Anton,f,"Chicago, Illinois, United States",West Town,1,$148.00,4.58
Rental unit in Chicago · ★4.88 · 2 bedrooms · 3 beds · 1 bath,2273840,Sarah,t,"Chicago, Illinois, United States",Logan Square,3,$150.00,4.88
Rental unit in Chicago · ★4.91 · 3 bedrooms · 4 beds · 2 baths,5228189,Matthew,t,"Chicago, Illinois, United States",West Town,4,$182.00,4.91
Rental unit in Chicago · ★4.53 · 1 bedroom · 1 bed · 1 shared bath,2880338,Elizabeth,f,"Chicago, Illinois, United States",Lincoln Square,1,$20.00,4.53
Rental unit in Chicago · ★4.77 · 1 bedroom · 1 bed · 1 bath,12681444,Jenny,t,"Chicago, Illinois, United States",Lincoln Square,1,$80.00,4.77
Condo in Chicago · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,2915265,Felice,t,"Chicago, Illinois, United States",Edgewater,1,$70.00,4.91
Condo in Chicago · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,2768314,Jason,f,"Chicago, Illinois, United States",West Town,1,$79.00,4.8
Condo in Chicago · ★4.98 · 2 bedrooms · 2 beds · 2.5 baths,3200044,James,t,"Chicago, Illinois, United States",Lake View,2,$286.00,4.98
Home in Chicago · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,2824576,Jeff,t,"Chicago, Illinois, United States",Forest Glen,1,$75.00,4.93
Home in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,2824576,Jeff,t,"Chicago, Illinois, United States",Forest Glen,1,$70.00,4.92
Townhouse in Chicago · ★4.78 · 1 bedroom · 1 bed · 1 private bath,12877384,Tanya,f,"Chicago, Illinois, United States",East Garfield Park,1,$40.00,4.78
Condo in Chicago · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,7858620,Cynthia,t,"Chicago, Illinois, United States",Washington Park,1,$80.00,4.78
Rental unit in Chicago · ★4.87 · 2 bedrooms · 2 beds · 1 bath,3574415,Marv,t,"Chicago, Illinois, United States",Near North Side,2,$99.00,4.87
Rental unit in Chicago · ★4.70 · 1 bedroom · 1 bed · 1 bath,2658212,James,t,"Chicago, Illinois, United States",Lake View,1,$78.00,4.7
Rental unit in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,2850286,Amado,f,"Chicago, Illinois, United States",Lower West Side,1,$65.00,4.89
Rental unit in Chicago · ★4.87 · 2 bedrooms · 2 beds · 1 bath,3867687,Janet,t,"Chicago, Illinois, United States",Lincoln Square,2,$150.00,4.87
Home in Chicago · ★3.67 · 1 bedroom · 1 bed · 1.5 baths,5654677,Urban Art,f,"Chicago, Illinois, United States",South Lawndale,1,$45.00,3.67
Condo in Chicago · ★4.73 · 3 bedrooms · 8 beds · 2 baths,13783917,Nora,t,"Chicago, Illinois, United States",West Town,8,$160.00,4.73
Rental unit in Chicago · ★4.75 · 3 bedrooms · 6 beds · 1 bath,3920450,Vas,t,"Chicago, Illinois, United States",Logan Square,6,$86.00,4.75
Condo in Chicago · ★4.93 · 3 bedrooms · 1 bed · 2.5 baths,4525503,Nejla And Enki,t,"Chicago, Illinois, United States",Lincoln Park,1,$85.00,4.93
Rental unit in Chicago · ★4.26 · 2 bedrooms · 2 beds · 1 bath,101521,Red,f,"Chicago, Illinois, United States",Lincoln Park,2,$97.00,4.26
Home in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 private bath,4019426,Colleen,f,"Chicago, Illinois, United States",Logan Square,1,$110.00,4.99
Rental unit in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 bath,5007980,Lynn,t,"Chicago, Illinois, United States",Lincoln Park,1,$128.00,4.92
Home in Chicago · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,5015135,Samantha,f,"Chicago, Illinois, United States",East Garfield Park,1,$136.00,4.91
Condo in Chicago · ★4.78 · 3 bedrooms · 3 beds · 1 bath,13793246,Kristi,t,"Chicago, Illinois, United States",Lake View,3,$214.00,4.78
Rental unit in Chicago · 2 bedrooms · 2 beds · 2 baths,4091924,Olga,f,"Chicago, Illinois, United States",Rogers Park,2,$150.00,0
Condo in Chicago · ★4.95 · 3 bedrooms · 3 beds · 2 baths,5228189,Matthew,t,"Chicago, Illinois, United States",West Town,3,$185.00,4.95
Guest suite in Chicago · ★4.82 · 1 bedroom · 4 beds · 1 bath,13975150,Janine,t,"Chicago, Illinois, United States",Morgan Park,4,$74.00,4.82
Home in Chicago · ★4.75 · 2 bedrooms · 2 beds · 1 bath,5016495,Erika,f,"Chicago, Illinois, United States",Near West Side,2,$133.00,4.75
Home in Chicago · ★4.97 · 1 bedroom · 1 bed · 1.5 shared baths,5076708,Lois And Eduardo,t,"Chicago, Illinois, United States",Rogers Park,1,$89.00,4.97
Rental unit in Chicago · ★4.95 · 2 bedrooms · 3 beds · 1 bath,5076708,Lois And Eduardo,t,"Chicago, Illinois, United States",Rogers Park,3,$179.00,4.95
Guest suite in Chicago · ★4.78 · 1 bedroom · 2 beds · 1 bath,2698691,LeeO'[Nardo],t,"Chicago, Illinois, United States",Grand Boulevard,2,$89.00,4.78
Rental unit in Chicago · ★4.68 · 1 bedroom · 1 bed · 1 bath,3843347,Andrea,t,"Chicago, Illinois, United States",Near North Side,1,$85.00,4.68
Home in Chicago · ★4.36 · 1 bedroom · 1 bed · 1 shared bath,5654677,Urban Art,f,"Chicago, Illinois, United States",North Lawndale,1,$45.00,4.36
Condo in Chicago · ★4.67 · Studio · 1 bed · 1 bath,6023157,Nataliya,t,"Chicago, Illinois, United States",Uptown,1,$60.00,4.67
Rental unit in Chicago · ★4.75 · 1 bedroom · 1 bed · 1 bath,2658212,James,t,"Chicago, Illinois, United States",Lincoln Park,1,$78.00,4.75
Guest suite in Chicago · ★4.80 · 1 bedroom · 4 beds · 1 bath,13975150,Janine,t,"Chicago, Illinois, United States",Morgan Park,4,$79.00,4.8
Rental unit in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 bath,8813383,Mindy + Tony,t,"Chicago, Illinois, United States",West Town,1,$160.00,4.92
Rental unit in Chicago · ★4.91 · 2 bedrooms · 2 beds · 2 baths,14692157,Ross,t,"Chicago, Illinois, United States",West Town,2,$165.00,4.91
Condo in Chicago · ★4.89 · 3 bedrooms · 4 beds · 1 bath,1664593,Matt And Christy,f,"Chicago, Illinois, United States",Near West Side,4,$240.00,4.89
Home in Chicago · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,11231030,Erik,t,"Chicago, Illinois, United States",West Lawn,1,$39.00,4.85
Condo in Chicago · ★4.84 · 2 bedrooms · 1 bed · 2 baths,15442332,Karen Sophie,t,"Chicago, Illinois, United States",South Shore,1,$85.00,4.84
Rental unit in Chicago · ★4.90 · 2 bedrooms · 2 beds · 1 bath,2899484,Jason,t,"Chicago, Illinois, United States",West Town,2,$138.00,4.9
Rental unit in Chicago · ★4.84 · 1 bedroom · 1 bed · 1 bath,1368870,Paul,f,"Chicago, Illinois, United States",Logan Square,1,$112.00,4.84
Home in Chicago · ★4.65 · 1 bedroom · 1 bed · 1 bath,7089017,Sharon,f,"Chicago, Illinois, United States",Near West Side,1,$103.00,4.65
Rental unit in Chicago · ★4.94 · 2 bedrooms · 2 beds · 2 baths,7780304,Mark And Collette,t,"Chicago, Illinois, United States",North Center,2,$174.00,4.94
Rental unit in Chicago · ★4.72 · 2 bedrooms · 3 beds · 1 bath,209564,Ami,t,"Chicago, Illinois, United States",Logan Square,3,$114.00,4.72
Home in Chicago · ★4.84 · 4 bedrooms · 11 beds · 3.5 baths,946954,Jeff,f,"Chicago, Illinois, United States",Lincoln Park,11,$761.00,4.84
Home in Chicago · ★4.89 · 6 bedrooms · 9 beds · 2.5 baths,16090300,John,t,"Chicago, Illinois, United States",Logan Square,9,"$1,093.00",4.89
Home in Chicago · ★4.97 · 1 bedroom · 1 bed · 1 private bath,3069675,Gabrielle,t,"Chicago, Illinois, United States",Logan Square,1,$90.00,4.97
Hostel in Chicago · ★4.43 · 1 bedroom · 1 bed · 11 shared baths,7391164,Wrigley Hostel,f,"Chicago, Illinois, United States",Lake View,1,$120.00,4.43
Rental unit in Chicago · ★4.92 · 1 bedroom · 3 beds · 1 bath,2676165,Richard,t,"Chicago, Illinois, United States",Edgewater,3,$89.00,4.92
Home in Chicago · ★4.62 · 3 bedrooms · 3 beds · 2 baths,7528098,Eileen,f,"Chicago, Illinois, United States",Uptown,3,$175.00,4.62
Home in Chicago · ★4.95 · 3 bedrooms · 4 beds · 3 baths,5960265,Courtney And Garrett,t,"Chicago, Illinois, United States",Lake View,4,$263.00,4.95
Rental unit in Chicago · ★4.88 · 2 bedrooms · 3 beds · 1 bath,16707041,Matthew,f,"Chicago, Illinois, United States",Near West Side,3,$299.00,4.88
Loft in Chicago · ★4.76 · 2 bedrooms · 2 beds · 1 bath,20528154,Gabriela,t,"Chicago, Illinois, United States",Near West Side,2,$92.00,4.76
Rental unit in Chicago · ★4.80 · 2 bedrooms · 2 beds · 2 baths,9995028,Chad,t,"Chicago, Illinois, United States",Lake View,2,$178.00,4.8
Home in Chicago · ★4.89 · 2 bedrooms · 2 beds · 1 bath,20624213,Karen,t,"Chicago, Illinois, United States",Uptown,2,$140.00,4.89
Home in Chicago · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,1559157,Amanda,t,"Chicago, Illinois, United States",Lower West Side,1,$82.00,4.81
Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 bath,17217012,Janet,t,"Chicago, Illinois, United States",Lake View,1,$75.00,4.88
Rental unit in Chicago · ★5.0 · 2 bedrooms · 2 beds · 1 bath,21178487,Fatimah,f,"Chicago, Illinois, United States",Grand Boulevard,2,$150.00,5.0
Rental unit in Chicago · ★4.61 · 1 bedroom · 3 beds · 1 shared bath,2880338,Elizabeth,f,"Chicago, Illinois, United States",Uptown,3,$35.00,4.61
Home in Chicago · ★4.17 · 1 bedroom · 1 bed · 1 shared bath,13389580,Ed,f,"Chicago, Illinois, United States",Dunning,1,$35.00,4.17
Condo in Chicago · ★4.98 · 1 bedroom · 1 bed · 1 private bath,17405364,Jennifer,t,"Chicago, Illinois, United States",Rogers Park,1,$75.00,4.98
Rental unit in Chicago · ★4.96 · 1 bedroom · 1 bed · 1 bath,18649856,Rachel,t,"Chicago, Illinois, United States",Edgewater,1,$42.00,4.96
Rental unit in Chicago · ★4.96 · 1 bedroom · 1 bed · 1 private bath,11294056,Amanda,f,"Chicago, Illinois, United States",Hyde Park,1,$75.00,4.96
Rental unit in Chicago · ★4.74 · 1 bedroom · 2 beds · 1 bath,3920450,Vas,t,"Chicago, Illinois, United States",Logan Square,2,$75.00,4.74
Rental unit in Chicago · ★4.73 · 1 bedroom · 1 bed · 1 bath,2441500,Lisa,f,"Chicago, Illinois, United States",Lake View,1,$115.00,4.73
Rental unit in Chicago · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,12955486,Luke & Ligia,t,"Chicago, Illinois, United States",Edgewater,1,$49.00,4.85
Rental unit in Chicago · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,21872907,Tamiz,t,"Chicago, Illinois, United States",Irving Park,1,$60.00,4.95
Condo in Chicago · ★4.78 · 1 bedroom · 1 bed · 1 bath,837429,Petru,t,"Chicago, Illinois, United States",Irving Park,1,$69.00,4.78
Guest suite in Chicago · ★4.40 · 1 bedroom · 2 beds · 1 bath,8607123,Grainne,f,"Chicago, Illinois, United States",West Ridge,2,$65.00,4.4
Condo in Chicago · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,21924626,Nathan,f,"Chicago, Illinois, United States",Lake View,1,$83.00,4.97
Rental unit in Chicago · ★4.92 · Studio · 1 bed · 1 bath,3965428,Rob,t,"Chicago, Illinois, United States",Near North Side,1,$170.00,4.92
Condo in Chicago · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,18742622,Barbara,t,"Chicago, Illinois, United States",Rogers Park,1,$68.00,4.85
Rental unit in Chicago · ★4.78 · 1 bedroom · 1 bed · 2 shared baths,2907254,Joe,f,"Chicago, Illinois, United States",West Ridge,1,$28.00,4.78
Rental unit in Chicago · ★4.87 · 2 bedrooms · 3 beds · 1 bath,19416379,Glenda,t,"Chicago, Illinois, United States",Humboldt Park,3,$126.00,4.87
Home in Chicago · ★4.94 · 2 bedrooms · 2 beds · 2 baths,22022871,Jill,f,"Chicago, Illinois, United States",Logan Square,2,$250.00,4.94
Condo in Chicago · ★4.96 · 2 bedrooms · 1 bed · 1 shared bath,2915265,Felice,t,"Chicago, Illinois, United States",Edgewater,1,$65.00,4.96
Townhouse in Chicago · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,4010906,Bobbie,f,"Chicago, Illinois, United States",Grand Boulevard,1,$95.00,4.83
Rental unit in Chicago · ★4.76 · 1 bedroom · 1 bed · 2 shared baths,2907254,Joe,f,"Chicago, Illinois, United States",West Ridge,1,$28.00,4.76
Rental unit in Chicago · ★4.60 · 2 bedrooms · 3 beds · 1 bath,10691960,Kayla,f,"Chicago, Illinois, United States",Near North Side,3,$225.00,4.6
Home in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 private bath,22810362,Anne,f,"Chicago, Illinois, United States",Lake View,1,$100.00,5.0
Condo in Chicago · ★5.0 · 1 bedroom · 2 beds · 1 private bath,19471032,Alberto,f,"Chicago, Illinois, United States",Loop,2,$55.00,5.0
Rental unit in Chicago · ★4.87 · 1 bedroom · 1 bed · 1 private bath,1096941,Angela,t,"Chicago, Illinois, United States",Irving Park,1,$50.00,4.87
Rental unit in Chicago · ★4.98 · 3 bedrooms · 3 beds · 1 bath,23128169,Jeanne,t,"Chicago, Illinois, United States",North Center,3,$199.00,4.98
Rental unit in Chicago · ★4.98 · 1 bedroom · 1 bed · 1 bath,19578992,Laura,f,"Chicago, Illinois, United States",West Town,1,$257.00,4.98
Home in Chicago · ★4.55 · 1 bedroom · 1 bed · 0 shared baths,20059524,M2m.Management.Llc@Gmail.Com,f,"Chicago, Illinois, United States",Armour Square,1,$33.00,4.55
Home in Chicago · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,11231030,Erik,t,"Chicago, Illinois, United States",West Lawn,1,$39.00,4.82
Condo in Chicago · ★4.80 · 2 bedrooms · 3 beds · 1 bath,3771351,Dorie,f,"Chicago, Illinois, United States",Uptown,3,$194.00,4.8
Rental unit in Chicago · ★4.64 · 2 bedrooms · 2 beds · 1 shared bath,2169532,Adam,f,"Chicago, Illinois, United States",Irving Park,2,$107.00,4.64
Condo in Chicago · ★4.59 · 1 bedroom · 1 bed · 1 bath,3843347,Andrea,t,"Chicago, Illinois, United States",Near North Side,1,$98.00,4.59
Home in Chicago · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,20449664,John,f,"Chicago, Illinois, United States",Dunning,1,$95.00,4.7
Townhouse in Chicago · ★4.96 · 2 bedrooms · 2 beds · 2 shared baths,23803571,Tomasso,t,"Chicago, Illinois, United States",Uptown,2,$100.00,4.96
Condo in Chicago · ★4.61 · 2 bedrooms · 6 beds · 2 baths,1649647,Bianca,f,"Chicago, Illinois, United States",West Town,6,$128.00,4.61
Home in Chicago · ★4.80 · 3 bedrooms · 3 beds · 2.5 baths,20490917,Robert,f,"Chicago, Illinois, United States",Lincoln Park,3,$109.00,4.8
Aparthotel in Chicago · ★4.85 · 2 bedrooms · 2 beds · 2 baths,24705990,Rick,t,"Chicago, Illinois, United States",Uptown,2,$328.00,4.85
Rental unit in Chicago · ★4.79 · 2 bedrooms · 2 beds · 1 bath,1563534,Lizzie,f,"Chicago, Illinois, United States",West Town,2,$93.00,4.79
Home in Chicago · ★4.95 · 1 bedroom · 3 beds · 1 private bath,20374823,Nick,t,"Chicago, Illinois, United States",North Center,3,$69.00,4.95
Rental unit in Chicago · ★4.96 · 2 bedrooms · 3 beds · 1 bath,27005011,Doug,f,"Chicago, Illinois, United States",Logan Square,3,$77.00,4.96
Loft in Chicago · ★4.86 · 1 bedroom · 2 beds · 1 private bath,24124115,Syed,f,"Chicago, Illinois, United States",West Town,2,$100.00,4.86
Rental unit in Chicago · ★4.63 · 2 bedrooms · 2 beds · 2 baths,31669178,Donna,t,"Chicago, Illinois, United States",Portage Park,2,$59.00,4.63
Home in Chicago · ★4.83 · 1 bedroom · 2 beds · 1 shared bath,2892101,Justine,t,"Chicago, Illinois, United States",Logan Square,2,$57.00,4.83
Home in Chicago · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,2892101,Justine,t,"Chicago, Illinois, United States",Logan Square,2,$53.00,4.85
Loft in Chicago · ★4.67 · 2 bedrooms · 2 beds · 1 bath,4267791,Levar,f,"Chicago, Illinois, United States",Near West Side,2,$279.00,4.67
Loft in Chicago · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,24676863,William,t,"Chicago, Illinois, United States",West Town,1,$119.00,4.81
Aparthotel in Chicago · ★4.93 · 2 bedrooms · 2 beds,24705990,Rick,t,"Chicago, Illinois, United States",Uptown,2,$328.00,4.93
Rental unit in Chicago · ★4.73 · 3 bedrooms · 3 beds · 2 baths,683529,Joe,t,"Chicago, Illinois, United States",North Center,3,$193.00,4.73
Guesthouse in Chicago · ★4.76 · 1 bedroom · 1 bed · 1 bath,24267774,Barbara,t,"Chicago, Illinois, United States",West Town,1,$135.00,4.76
Serviced apartment in Chicago · ★4.90 · 3 bedrooms · 3 beds · 2 baths,24705990,Rick,t,"Chicago, Illinois, United States",Uptown,3,$429.00,4.9
Condo in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,597871,Matt,t,"Chicago, Illinois, United States",Lincoln Park,1,$120.00,4.92
Rental unit in Chicago · ★4.65 · 2 bedrooms · 3 beds · 1 bath,32336500,Daniel,f,"Chicago, Illinois, United States",Humboldt Park,3,$58.00,4.65
Rental unit in Chicago · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,21922655,Angelica,f,"Chicago, Illinois, United States",West Town,1,$48.00,4.73
Home in Chicago · ★4.62 · 2 bedrooms · 3 beds · 1 private bath,20449664,John,f,"Chicago, Illinois, United States",Dunning,3,$125.00,4.62
Rental unit in Chicago · ★4.83 · Studio · 1 bed · 1 bath,33154489,Sara,f,"Chicago, Illinois, United States",Lincoln Square,1,$89.00,4.83
Rental unit in Chicago · ★4.38 · 1 bedroom · 2 beds · 1 bath,23197213,Doral,f,"Chicago, Illinois, United States",Grand Boulevard,2,$100.00,4.38
Bungalow in Chicago · ★4.79 · 2 bedrooms · 2 beds · 1 bath,31669178,Donna,t,"Chicago, Illinois, United States",Hegewisch,2,$79.00,4.79
